id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19140676,Private Room 3 Min Walk to Savin Hill Subway Stop,4271667,Tianyu,,Dorchester,42.31309,-71.05531,Private room,49,3,93,05/16/2019,3.95,1,231
19141729,Stayloom’s Saltspray Escape | Beachfront,10850877,Franklin,,South Boston,42.32991,-71.03235,Entire home/apt,1170,1,78,05/03/2019,3.33,5,279
19143327,Beautiful 1 BR Apartment #11 In Downtown Boston.,28384162,Angelina,,Downtown,42.35109,-71.06678,Entire home/apt,158,2,111,05/07/2019,4.7,2,9
19143984,✪Sunny King SmartTV 4m to DWTN FreePk• walk2train,25203946,Eder,,Dorchester,42.30935,-71.06239,Private room,92,2,34,05/12/2019,1.44,16,350
19149341,Fun Houseboat,3029783,Deborah,,Charlestown,42.37556,-71.05021,Entire home/apt,290,2,22,11/11/2018,0.98,4,350
19151055,BEST LOCATION 3 BR North End's Freedom Trail,133896701,David,,North End,42.36373,-71.05488,Entire home/apt,285,2,91,05/16/2019,4.14,4,90
19153136,Luxury Apartment Bldg Next Door to Boston Commons,14015875,Beckie,,Downtown,42.35642,-71.05916,Entire home/apt,189,4,2,08/03/2017,0.09,1,0
19154786,Comfortable & Convenient ( Centrally Located).,133927887,Alex & Kat,,Fenway,42.34568,-71.08887,Entire home/apt,250,2,17,06/22/2018,0.73,12,0
19157252,Stylish Studio w/ world class amenities in Boston!,30283594,Kara,,Mission Hill,42.32873,-71.1103,Entire home/apt,249,1,4,03/10/2019,0.19,138,335
19159488,Fenway Studio with Lobby-Level Retail+ Gym,30283594,Kara,,Mission Hill,42.32895,-71.1099,Entire home/apt,249,2,0,,,138,363
19159772,Stylish 1-BR  near Fenway with Pool & Gym!!,30283594,Kara,,Mission Hill,42.33017,-71.11056,Entire home/apt,131,1,0,,,138,362
19160014,Upscale 1-BR near Fenway+ Beautiful Pool and Gym!!,30283594,Kara,,Mission Hill,42.33023,-71.11045,Entire home/apt,249,1,1,07/04/2017,0.04,138,362
19160261,Fenway 2-BR + top notch amenities!!,30283594,Kara,,Mission Hill,42.32965,-71.10998,Entire home/apt,171,3,5,05/05/2019,0.23,138,215
19160270,Stayloom's Saltspray Luxury | Beachfront,10850877,Franklin,,South Boston,42.33205,-71.03296,Entire home/apt,1040,1,97,05/03/2019,4.13,5,262
19173476,High-End & Stylish 2-BR apt near Fenway Park,30283594,Kara,,Mission Hill,42.32892,-71.11006,Entire home/apt,299,1,3,11/04/2018,0.35,138,225
19173890,Beautifully Furnished 2BR near Fenway +Pool & Gym,30283594,Kara,,Mission Hill,42.33025,-71.11195,Entire home/apt,169,1,4,08/26/2018,0.19,138,225
19174144,Clean spacious modern 2BR JP condo,13897255,Chris,,Jamaica Plain,42.3053,-71.11146,Entire home/apt,180,2,5,10/09/2017,0.21,3,0
19175044,"Lux Studio Apt w/pool, gym & views of Olmsted Park",9419684,Mike,,Mission Hill,42.33034,-71.11211,Entire home/apt,194,3,2,04/30/2018,0.09,117,225
19180117,NEW: Boston Luxe Studio,134145496,David,,Downtown,42.36491,-71.05904,Entire home/apt,170,1,102,04/29/2019,4.33,1,128
19182228,Private bedroom unit in the heart of Back Bay,17320199,Shalabh,,Back Bay,42.34951,-71.07268,Private room,120,2,15,04/16/2019,0.64,1,0
19182289,"Renovated House, Sunny & Clean room, New Window AC",18517776,Huggy,,Roxbury,42.31459,-71.09253,Private room,36,14,2,11/23/2018,0.1,30,365
19197441,Phenomenal Stay Alfred on Garrison Street,114353388,Stay Alfred,,Back Bay,42.34587,-71.07821,Entire home/apt,1171,1,1,03/04/2019,0.39,42,16
19199046,"Nice Charlestown Location, Close to Downtown & T!",7290688,Chris,,Charlestown,42.38425,-71.07776,Private room,88,1,208,05/15/2019,8.84,2,15
19199379,Boston 3 bed Apt By Logan Airport & Train Floor#2,9073339,Elisangela,,East Boston,42.37769,-71.03468,Entire home/apt,300,1,119,05/05/2019,5.14,3,317
19209066,Logan Intl Airport - Boston II,129278480,Jay,,East Boston,42.38991,-71.00155,Private room,50,30,1,02/01/2018,0.06,4,364
19209396,Rm#5 Heart-Chinatown Bost-Near-T唐人街 +AC,131456838,Eddie,,Chinatown,42.34837,-71.06264,Private room,85,1,35,05/09/2019,1.49,10,68
19209936,Boston-Jamaica Plain Heart- sleeps 6,51361205,Sensei Boaz,,Jamaica Plain,42.31606,-71.10478,Entire home/apt,130,2,124,05/16/2019,5.5,4,22
19212437,Sky-blue Room w/Private Bath & AC remote,124799156,Maureen,,Roslindale,42.27662,-71.12002,Private room,69,2,12,10/22/2018,0.55,5,328
19219071,Studio apt in tree-lined Boston neighborhood!,133217709,Joshua,,West Roxbury,42.27443,-71.14969,Entire home/apt,79,1,239,05/13/2019,10.51,1,234
19220895,South End SOWA 2brm w/ gorgeous patio!,2006852,Jay,,South End,42.33925,-71.06477,Entire home/apt,156,1,81,04/28/2019,3.45,9,248
19222305,"Sweet Rm 2 Chinatown Boston甜蜜屋,唐人街 2 single beds",131456838,Eddie,,Chinatown,42.34815,-71.06281,Private room,85,1,37,04/16/2019,1.63,10,339
19223966,Elegant Rm3 Chinatown優雅大房 波士顿唐人街 2 beds,131456838,Eddie,,South End,42.34675,-71.06378,Private room,95,1,37,05/11/2019,1.63,10,329
19224791,Amazing Renovated & Brand New! One Bed w/WD!,1118374,Scott,,North End,42.36334,-71.057,Entire home/apt,178,1,180,05/03/2019,7.73,31,320
19225442,Back Bay Duplex,48627982,Matt,,Back Bay,42.35146,-71.08855,Private room,93,180,9,07/06/2017,0.38,1,0
19229464,"Simple, clean, and cozy single",134625728,Josh,,Allston,42.35354,-71.13824,Private room,30,1,3,08/24/2017,0.13,1,0
19229917,近BU 好房暑期出租 Fneway C线D线超近,38120822,Wang,,Fenway,42.34655,-71.10287,Private room,55,7,0,,,1,0
19240978,"Beautiful, new, airy apartment in Boston!",12346188,Shubham,,Brighton,42.35037,-71.1492,Private room,95,2,2,08/31/2017,0.09,1,0
